Date Start,Date End,Service,Usage Type,Blended Cost,Unblended Cost,Usage Quantity,Unit
2023-09-20,2023-09-21,EC2 - Other,DataTransfer-Regional-Bytes,0.00,,0.00,GB
2023-09-20,2023-09-21,EC2 - Other,EBS:VolumeUsage.gp3,0.08,,1.00,GB-Month
2023-09-20,2023-09-21,EC2 - Other,NatGateway-Bytes,0.00,,0.00,GB
2023-09-20,2023-09-21,EC2 - Other,NatGateway-Hours,1.08,,24.00,Hrs
2023-09-20,2023-09-21,EC2 - Other,USE1-APS1-AWS-In-Bytes,0.00,,0.00,GB
2023-09-20,2023-09-21,EC2 - Other,USE1-EU-AWS-In-Bytes,0.00,,0.00,GB
2023-09-20,2023-09-21,EC2 - Other,USE1-EUN1-AWS-In-Bytes,0.00,,0.00,GB
2023-09-20,2023-09-21,EC2 - Other,USE1-EUW2-AWS-In-Bytes,0.00,,0.00,GB
2023-09-20,2023-09-21,EC2 - Other,USE1-USE2-AWS-In-Bytes,0.00,,0.00,GB
2023-09-20,2023-09-21,EC2 - Other,USE1-USW2-AWS-In-Bytes,0.00,,0.00,GB
2023-09-20,2023-09-21,Amazon Elastic Compute Cloud - Compute,BoxUsage:t3.small,0.50,,24.00,Hrs
2023-09-20,2023-09-21,Amazon Elastic Compute Cloud - Compute,DataTransfer-In-Bytes,0.00,,0.00,GB
2023-09-20,2023-09-21,Amazon Elastic Compute Cloud - Compute,DataTransfer-Out-Bytes,0.00,,0.00,GB
2023-09-20,2023-09-21,Amazon Elastic Container Service,USE1-Fargate-GB-Hours,1.28,,288.00,Hrs
2023-09-20,2023-09-21,Amazon Elastic Container Service,USE1-Fargate-vCPU-Hours:perCPU,2.91,,72.00,Hrs
2023-09-20,2023-09-21,Amazon Elastic Load Balancing,LoadBalancerUsage,0.54,,24.00,Hrs
2023-09-20,2023-09-21,Amazon GuardDuty,USE1-PaidEventsAnalyzed,0.04,,10730.00,Events
2023-09-20,2023-09-21,Amazon GuardDuty,USE1-PaidEventsAnalyzed-Bytes,0.00,,0.00,GB
2023-09-20,2023-09-21,Amazon GuardDuty,USE1-PaidS3DataEventsAnalyzed,0.00,,58.00,Events
2023-09-20,2023-09-21,Amazon Macie,USE1-PaidDataInventoryEvaluation,0.02,,6.00,Bucket-days
2023-09-20,2023-09-21,Amazon Relational Database Service,Aurora:BackupUsage,0.00,,0.00,GB-Month
2023-09-20,2023-09-21,Amazon Relational Database Service,Aurora:ServerlessV2Usage,2.88,,24.00,ACU-Hr
2023-09-20,2023-09-21,Amazon Relational Database Service,Aurora:StorageIOUsage,0.09,,473766.00,IOs
2023-09-20,2023-09-21,Amazon Relational Database Service,Aurora:StorageUsage,0.00,,0.00,GB-Month
2023-09-20,2023-09-21,Amazon Relational Database Service,DataTransfer-In-Bytes,0.00,,0.00,GB
2023-09-20,2023-09-21,Amazon Relational Database Service,DataTransfer-Out-Bytes,0.00,,0.00,GB
2023-09-20,2023-09-21,Amazon Simple Notification Service,APS1-Requests-Tier1,0.00,,3.00,Requests
2023-09-20,2023-09-21,Amazon Simple Notification Service,APS2-Requests-Tier1,0.00,,3.00,Requests
2023-09-20,2023-09-21,Amazon Simple Notification Service,CAN1-Requests-Tier1,0.00,,3.00,Requests
2023-09-20,2023-09-21,Amazon Simple Notification Service,DataTransfer-In-Bytes,0.00,,0.00,GB
2023-09-20,2023-09-21,Amazon Simple Notification Service,DataTransfer-Out-Bytes,0.00,,0.00,GB
2023-09-20,2023-09-21,Amazon Simple Notification Service,DeliveryAttempts-LAMBDA,0.00,,76.00,Notifications
2023-09-20,2023-09-21,Amazon Simple Notification Service,EU-Requests-Tier1,0.00,,3.00,Requests
2023-09-20,2023-09-21,Amazon Simple Notification Service,EUC1-Requests-Tier1,0.00,,3.00,Requests
2023-09-20,2023-09-21,Amazon Simple Notification Service,EUN1-Requests-Tier1,0.00,,3.00,Requests
2023-09-20,2023-09-21,Amazon Simple Notification Service,EUW2-Requests-Tier1,0.00,,3.00,Requests
2023-09-20,2023-09-21,Amazon Simple Notification Service,Requests-Tier1,0.00,,85.00,Requests
2023-09-20,2023-09-21,Amazon Simple Notification Service,USE2-Requests-Tier1,0.00,,3.00,Requests
2023-09-20,2023-09-21,Amazon Simple Notification Service,USW2-Requests-Tier1,0.00,,5.00,Requests
2023-09-20,2023-09-21,Amazon Simple Queue Service,APS1-Requests-Tier1,0.00,,1.00,Requests
2023-09-20,2023-09-21,Amazon Simple Queue Service,APS2-Requests-Tier1,0.00,,1.00,Requests
2023-09-20,2023-09-21,Amazon Simple Queue Service,CAN1-Requests-Tier1,0.00,,1.00,Requests
2023-09-20,2023-09-21,Amazon Simple Queue Service,EU-Requests-Tier1,0.00,,1.00,Requests
2023-09-20,2023-09-21,Amazon Simple Queue Service,EUC1-Requests-Tier1,0.00,,1.00,Requests
2023-09-20,2023-09-21,Amazon Simple Queue Service,EUN1-Requests-Tier1,0.00,,1.00,Requests
2023-09-20,2023-09-21,Amazon Simple Queue Service,EUW2-Requests-Tier1,0.00,,1.00,Requests
2023-09-20,2023-09-21,Amazon Simple Queue Service,Requests-RBP,0.00,,1.00,Requests
2023-09-20,2023-09-21,Amazon Simple Queue Service,USE2-Requests-Tier1,0.00,,1.00,Requests
2023-09-20,2023-09-21,Amazon Simple Queue Service,USW2-Requests-Tier1,0.00,,1.00,Requests
2023-09-20,2023-09-21,Amazon Simple Storage Service,Requests-Tier1,0.00,,68.00,Requests
2023-09-20,2023-09-21,Amazon Simple Storage Service,Requests-Tier2,0.00,,347.00,Requests
2023-09-20,2023-09-21,Amazon Simple Storage Service,TimedStorage-ByteHrs,0.00,,0.02,GB-Month
2023-09-20,2023-09-21,Amazon Simple Storage Service,USE1-APS1-AWS-Out-Bytes,0.00,,0.00,GB
2023-09-20,2023-09-21,Amazon Simple Storage Service,USE1-APS2-AWS-Out-Bytes,0.00,,0.00,GB
2023-09-20,2023-09-21,Amazon Simple Storage Service,USE1-CAN1-AWS-Out-Bytes,0.00,,0.00,GB
2023-09-20,2023-09-21,Amazon Simple Storage Service,USE1-EU-AWS-Out-Bytes,0.00,,0.00,GB
2023-09-20,2023-09-21,Amazon Simple Storage Service,USE1-EUC1-AWS-Out-Bytes,0.00,,0.00,GB
2023-09-20,2023-09-21,Amazon Simple Storage Service,USE1-EUN1-AWS-Out-Bytes,0.00,,0.00,GB
2023-09-20,2023-09-21,Amazon Simple Storage Service,USE1-EUW2-AWS-Out-Bytes,0.00,,0.00,GB
2023-09-20,2023-09-21,Amazon Simple Storage Service,USE1-USE2-AWS-Out-Bytes,0.00,,0.00,GB
2023-09-20,2023-09-21,Amazon Simple Storage Service,USE1-USW2-AWS-Out-Bytes,0.00,,0.00,GB
2023-09-20,2023-09-21,Amazon Virtual Private Cloud,USE1-DataTransfer-xAZ-In-Bytes,0.00,,0.00,GB
2023-09-20,2023-09-21,Amazon Virtual Private Cloud,USE1-DataTransfer-xAZ-Out-Bytes,0.00,,0.00,GB
2023-09-20,2023-09-21,Amazon Virtual Private Cloud,USE1-PublicIPv4:InUseAddress,0.00,,168.00,Hrs
2023-09-20,2023-09-21,Amazon Virtual Private Cloud,USE1-VpcEndpoint-Bytes,0.00,,0.00,GB
2023-09-20,2023-09-21,Amazon Virtual Private Cloud,USE1-VpcEndpoint-Hours,0.04,,4.00,Hrs
2023-09-20,2023-09-21,AmazonCloudWatch,CW:AlarmMonitorUsage,0.01,,0.13,Alarms
2023-09-20,2023-09-21,AmazonCloudWatch,USE1-DataProcessing-Bytes,0.04,,0.08,GB
2023-09-20,2023-09-21,AmazonCloudWatch,USE1-TimedStorage-ByteHrs,0.01,,0.20,GB-Month
2023-09-20,2023-09-21,AmazonCloudWatch,USW2-DataProcessing-Bytes,0.00,,0.00,GB
2023-09-20,2023-09-21,AmazonCloudWatch,USW2-TimedStorage-ByteHrs,0.00,,0.00,GB-Month
2023-09-20,2023-09-21,CloudWatch Events,USE1-Event-64K-Chunks,0.00,,20.00,64K-Chunks
2023-09-21,2023-09-22,AWS CloudTrail,APN1-FreeEventsRecorded,0.00,,31.00,Events
2023-09-21,2023-09-22,AWS CloudTrail,APN2-FreeEventsRecorded,0.00,,31.00,Events
2023-09-21,2023-09-22,AWS CloudTrail,APN3-FreeEventsRecorded,0.00,,31.00,Events
2023-09-21,2023-09-22,AWS CloudTrail,APS1-FreeEventsRecorded,0.00,,596.00,Events
2023-09-21,2023-09-22,AWS CloudTrail,APS2-FreeEventsRecorded,0.00,,604.00,Events
2023-09-21,2023-09-22,AWS CloudTrail,APS3-FreeEventsRecorded,0.00,,31.00,Events
2023-09-21,2023-09-22,AWS CloudTrail,CAN1-FreeEventsRecorded,0.00,,550.00,Events
2023-09-21,2023-09-22,AWS CloudTrail,EU-FreeEventsRecorded,0.00,,618.00,Events
2023-09-21,2023-09-22,AWS CloudTrail,EUC1-FreeEventsRecorded,0.00,,642.00,Events
2023-09-21,2023-09-22,AWS CloudTrail,EUN1-FreeEventsRecorded,0.00,,511.00,Events
2023-09-21,2023-09-22,AWS CloudTrail,EUW2-FreeEventsRecorded,0.00,,549.00,Events
2023-09-21,2023-09-22,AWS CloudTrail,EUW3-FreeEventsRecorded,0.00,,31.00,Events
2023-09-21,2023-09-22,AWS CloudTrail,SAE1-FreeEventsRecorded,0.00,,31.00,Events
2023-09-21,2023-09-22,AWS CloudTrail,USE1-FreeEventsRecorded,0.00,,16382.00,Events
2023-09-21,2023-09-22,AWS CloudTrail,USE2-FreeEventsRecorded,0.00,,574.00,Events
2023-09-21,2023-09-22,AWS CloudTrail,USW1-FreeEventsRecorded,0.00,,31.00,Events
2023-09-21,2023-09-22,AWS CloudTrail,USW2-FreeEventsRecorded,0.00,,1269.00,Events
2023-09-21,2023-09-22,AWS Config,ConfigurationItemRecorded,0.21,,70.00,ConfigurationItemRecorded
2023-09-21,2023-09-22,AWS Config,USE1-ConfigRuleEvaluations,0.03,,25.00,ConfigRuleEvaluations
2023-09-21,2023-09-22,AWS Key Management Service,ap-southeast-1-KMS-Requests,0.00,,3.00,Requests
2023-09-21,2023-09-22,AWS Key Management Service,ap-southeast-2-KMS-Requests,0.00,,3.00,Requests
2023-09-21,2023-09-22,AWS Key Management Service,ca-central-1-KMS-Requests,0.00,,3.00,Requests
2023-09-21,2023-09-22,AWS Key Management Service,eu-central-1-KMS-Requests,0.00,,23.00,Requests
2023-09-21,2023-09-22,AWS Key Management Service,eu-north-1-KMS-Requests,0.00,,3.00,Requests
2023-09-21,2023-09-22,AWS Key Management Service,eu-west-1-KMS-Requests,0.00,,3.00,Requests
2023-09-21,2023-09-22,AWS Key Management Service,eu-west-2-KMS-Requests,0.00,,3.00,Requests
2023-09-21,2023-09-22,AWS Key Management Service,us-east-1-KMS-Requests,0.00,,48.00,Requests
